24/08/2023
BASE,ANO,TAMANHO,ARQUIVO
Acórdãos,1992,15315 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1992.csv
Acórdãos,1993,17728 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1993.csv
Acórdãos,1994,22019 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1994.csv
Acórdãos,1995,22173 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1995.csv
Acórdãos,1996,31421 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1996.csv
Acórdãos,1997,33760 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1997.csv
Acórdãos,1998,35483 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1998.csv
Acórdãos,1999,47729 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1999.csv
Acórdãos,2000,62724 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2000.csv
Acórdãos,2001,62705 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2001.csv
Acórdãos,2002,94726 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2002.csv
Acórdãos,2003,105193 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2003.csv
Acórdãos,2004,116567 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2004.csv
Acórdãos,2005,126718 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2005.csv
Acórdãos,2006,150847 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2006.csv
Acórdãos,2007,148959 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2007.csv
Acórdãos,2008,177907 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2008.csv
Acórdãos,2009,223338 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2009.csv
Acórdãos,2010,289901 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2010.csv
Acórdãos,2011,338991 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2011.csv
Acórdãos,2012,299654 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2012.csv
Acórdãos,2013,288153 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2013.csv
Acórdãos,2014,326185 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2014.csv
Acórdãos,2015,309625 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2015.csv
Acórdãos,2016,337146 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2016.csv
Acórdãos,2017,324546 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2017.csv
Acórdãos,2018,362145 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2018.csv
Acórdãos,2019,364064 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2019.csv
Acórdãos,2020,498492 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2020.csv
Acórdãos,2021,506635 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2021.csv
Acórdãos,2022,411659 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2022.csv
Acórdãos,2023,281236 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2023.csv
Informativo de Licitações e Contratos,,6453 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/informativo-lc/informativo-lc.csv
Boletim de Jurisprudência,,3133 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/boletim-jurisprudencia/boletim-jurisprudencia.csv
Boletim de Pessoal,,837 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/boletim-pessoal/boletim-pessoal.csv
Jurisprudência Selecionada,,93557 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/jurisprudencia-selecionada/jurisprudencia-selecionada.csv
Respostas a Consultas,,5244 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/resposta-consulta/resposta-consulta.csv
Súmulas,,719 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/sumula/sumula.csv
