24/08/2023
BASE,ANO,TAMANHO,ARQUIVO
Súmulas,,719 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/sumula/sumula.csv
Respostas a Consultas,,5244 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/resposta-consulta/resposta-consulta.csv
Jurisprudência Selecionada,,93557 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/jurisprudencia-selecionada/jurisprudencia-selecionada.csv
Boletim de Pessoal,,837 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/boletim-pessoal/boletim-pessoal.csv
Boletim de Jurisprudência,,3133 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/boletim-jurisprudencia/boletim-jurisprudencia.csv
Informativo de Licitações e Contratos,,6453 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/informativo-lc/informativo-lc.csv
Acórdãos,1994,25987 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1994.csv
Acórdãos,1995,25279 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1995.csv
Acórdãos,1996,35299 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1996.csv
Acórdãos,1997,37888 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1997.csv
Acórdãos,1998,38310 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1998.csv
Acórdãos,1999,50538 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1999.csv
Acórdãos,2000,66841 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2000.csv
Acórdãos,2001,66400 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2001.csv
Acórdãos,2002,98831 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2002.csv
Acórdãos,2003,110266 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2003.csv
Acórdãos,2004,121949 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2004.csv
Acórdãos,2005,131988 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2005.csv
Acórdãos,2006,157183 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2006.csv
Acórdãos,2007,155764 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2007.csv
Acórdãos,2008,187434 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2008.csv
Acórdãos,2009,235094 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2009.csv
Acórdãos,2010,303149 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2010.csv
Acórdãos,2011,356624 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2011.csv
Acórdãos,2012,313744 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2012.csv
Acórdãos,2013,301825 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2013.csv
Acórdãos,2014,339629 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2014.csv
Acórdãos,2015,325063 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2015.csv
Acórdãos,2016,353859 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2016.csv
Acórdãos,2017,341376 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2017.csv
Acórdãos,2018,383424 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2018.csv
Acórdãos,2019,385449 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2019.csv
Acórdãos,2020,520824 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2020.csv
Acórdãos,2021,535027 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2021.csv
Acórdãos,2022,426956 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2022.csv
Acórdãos,2023,280345 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-2023.csv
Acórdãos,1992,17842 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1992.csv
Acórdãos,1993,20138 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1993.csv
Acórdãos,1992,17842 KB,https://sites.tcu.gov.br/jurisprudencia/arquivos/acordao-completo/acordao-completo-1992.csv
